日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-03-25,600172,黄河旋风,8.36,2.33%,9.33%,15,60.0%,11.47%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,603086,先达股份,7.45,3.19%,2.45%,15,60.0%,7.30%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,600470,六国化工,7.43,10.07%,15.88%,10,55.6%,1.66%,⭐⭐⭐,概率占优，分批建仓
2026-03-27,002998,优彩资源,8.07,2.54%,2.09%,9,55.6%,-0.72%,⭐⭐⭐,概率占优，分批建仓
2026-03-25,600888,新疆众和,8.25,3.12%,2.78%,8,50.0%,-0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-27,000626,远大控股,8.35,2.96%,2.94%,14,50.0%,0.56%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,601068,中铝国际,5.76,3.41%,0.78%,11,45.5%,0.92%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,600313,农发种业,7.9,4.91%,7.51%,10,44.4%,-2.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,000505,京粮控股,6.71,1.82%,1.99%,14,42.9%,-0.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,601969,海南矿业,11.49,1.41%,1.82%,12,41.7%,-0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-25,603429,集友股份,8.49,4.94%,2.25%,5,40.0%,-2.15%,⭐⭐⭐,历史表现平平，轻仓试错
