code,name,advice,score,7日预期,14日预期,20日预期
000567,海德股份,轻仓试错,60,等待验证,等待验证,等待验证
603317,天味食品,轻仓试错,60,等待验证,等待验证,等待验证
002629,仁智股份,轻仓试错,60,等待验证,等待验证,等待验证
603336,宏辉果蔬,轻仓试错,50,等待验证,等待验证,等待验证
000906,浙商中拓,轻仓试错,50,等待验证,等待验证,等待验证
000952,广济药业,轻仓试错,50,等待验证,等待验证,等待验证
603637,镇海股份,轻仓试错,50,等待验证,等待验证,等待验证
603279,景津装备,观察,40,等待验证,等待验证,等待验证
002052,同洲电子,观察,20,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
002591,恒大高新,观察,20,等待验证,等待验证,等待验证
603316,诚邦股份,观察,20,等待验证,等待验证,等待验证
002999,天禾股份,观察,0,等待验证,等待验证,等待验证
000990,诚志股份,观察,0,等待验证,等待验证,等待验证
